Transcript,Sentiment
"THE CHARACTERS WERE WELL DEVELOPED UM NOT ALL OF THE CHARACTERS
",POSITIVE
" BUT UM I WOULD SAY THAT UM THERE WAS THERES GOOD THERE WERE FOUR GOOD CHARACTERS IN THERE 
",POSITIVE
"UM I I LIKED AGENT BRODYS CHARACTER
",POSITIVE
" I THOUGHT HE WAS UM WELL DEVELOPED
",POSITIVE
" YOU KNOW WELL DRAWN OUT CHARACTER
",POSITIVE
"I LIKED THE GIRL WHO WAS THE ISRAELI SNIPER
",POSITIVE
"I THOUGHT SHE WAS THE NUMBER ONE WELL DRAWN CHARACTER
",POSITIVE
"UM I LIKED THE RUSSIAN GUY JURI 
",POSITIVE
" UM YOU CARED YOU THERE WAS ENOUGH IN THERE FOR YOU TO CARE ABOUT HIM
",POSITIVE
"AND XXX WAS AN INTERESTING CHARACTER 
",POSITIVE
"UM HE HAD SOME FUNNY HE HAD A FEW ONE LINES THAT WAS QUITE QUITE FUNNY
",POSITIVE
" YEAH ONCE UNFORTUNATELY UM I THINK IN THE WRITING SOMEWHERE THEY THEY JUST WERENT UM DEVELOPED ENOUGH FEAR TO CARE ABOUT THEM UM AND THAT INCLUDES IS IT TOPHER GRACES I THINK I THINK HIS NAME WAS INCLUDS HIS CHARACTER UM
",NEGATIVE
" UM I JUST DIDNT THINK IT WAS WELL DEVELOPED ENOUGH AND UM I ALSO I I INCLUDE IN THAT LAURENCE FISHBURNES CHARACTER AS WELL 
",NEGATIVE
"WHO I THINK RODRIGEZ WHEN HE WROTE THE MO WROTE THE MOVIE WAS GOING FOR A MARLON BRANDO APOCALIPSE NOW TYPE OF CHARACTER
",NEGATIVE
" BUT HE ACTUALLY FOUND UM WHEN HES SEEN COME UP IT SLOWED THE MOVIE DOWN UM AND THIS IS THE PROBLEM UM WITH PREDATOR TO PREDATORS COMPARED TO PREDATOR
",NEGATIVE
"PREDATOR IS REALLY WELL PACED MOVIE
",POSITIVE
"AND IT PICKS UP SPEED AND NEVER LETS GO EV EVEN IN THE SAME XXX WHERE THEY THEY SLOW YOU KNOW THEY MEANT TO HAVE SOME DIALOGUE AND AND TALK ABOUT WHATS GOING ON YO YOU KNOW 
",POSITIVE
"IT FELT THE MOVIE SLOWED DOWN WHERES IT IN THE MIDDLE OF THIS
",NEGATIVE
"WHEN WHEN THEY THEY WITH UM LAURENCE FISHBURNE CHARACTER IT DOES SLOW DOWN A GREAT DEAL
",NEGATIVE
" I DIDNT REALLY FEEL UM THE INCLUSION OF HIS CHARATER WAS NECESSARY
",NEGATIVE
"UM IT COULDVE BEEN WRITTEN OUT
",NEGATIVE
"WHICH IS WHERE ALL GREAT RELATIONSHIPS SHOULD START 
",POSITIVE
" AND JUST ITS VERY ITS VERY CHAOTIC AT THE END OF THIS MOVIE
",NEGATIVE
"I LITERALLY SAID OUT LOUD WHAT QUE WHAT IS THIS MOVIE THAT I AM SEEING WHAT IS THIS
",NEGATIVE
"I DO NOT UNDERSTAND THIS MOVIE
",NEGATIVE
" BUT THERES A REASON FOR THAT THERES A REASON FOR WHY I WAS CONFUSED
",NEGATIVE
"FIRST OFF THE COMMERCIAL MAKES THE TERRIBLE TERRIBLE MISTAKE OF SAYING THAT IT IS MORE THOUGHT PROVOKING THAN INCEPTION
",NEGATIVE
" THANKS A LOT COMMERCIAL
",NEGATIVE
"THE ENTIRE TIME I WAS CONSTANTLY COMPARING IT TO INCEPTION
",NEGATIVE
"BUT I MUST SAY THOSE ARE SOME PRETTY BIG SHOES TO FILL SO I THOUGHT MAYBE IT HAS A CHANCE
",POSITIVE
" I I SHOULD GIVE IT A SHOT YOU KNOW
",POSITIVE
" I WAS JUST WAITING FOR JOSEPH GORDON LEVITT TO COME OUT JUST JUMP OUT ANY TIME AND SAY ITS A PARADOX
",NEGATIVE
" NOW THE ONLY SUSPENSFUL PART THAT I FOUND IN THE FIRST THIRTY MINUTES OF THE MOVIE WAS WHEN MATT DAMON FIRST DISCOVERS THE BUREAU IN THE FIRST PLACE
",NEGATIVE
"WHICH KIND OF JUST RUINS THE SUSPENSE RIGHT THERE BECAUSE IF YOUVE GOT SOME CONVENIENT GUY IN A FEDORA TO JUST TELL YOU OH YES WE ARE THE ADJUSTEMENT BUREAU AND THIS IS WHAT WE DO YOU KNOW ITS JUST KIND OF RUINS THE SUSPENSE
",NEGATIVE
"AND NOW IM NOT IM NOT EXCITED ANYMORE
",NEGATIVE
" UM YOU KNOW IT HAD SOME INTERESTING WRITING
",POSITIVE
"YOU KNOW IT WAS IT WAS FUNNY AT TIMES
",POSITIVE
" MATT DAMON IS A YOU KNOW HES A PRETTY FUNNY GUY
",POSITIVE
"BUT JUST ASIDE FROM THAT THEY REALLY DROPPED THE BALL ON THE SUSPENSFUL PARTS
",NEGATIVE
" OVERALL OVERALL IT HAD FAR TOO MANY PLOT HOLES
",NEGATIVE
" AND JUST NOT ENOUGH DEPTH TO BE INTERESTING
",NEGATIVE
"I HAVE TO SAY MY FAVORITE CHARACTER IN THE ENTIRE MOVIE IS THE CHARACTER THOMPSON
",POSITIVE
"BUT HES JUST THE CREEPIEST OLD GUY YOULL EVER SEE IN YOUR LIFE HE STANDS OVER PEOPLE WHEN THEYRE ASLEEP JUST STARING AT THEM
",NEGATIVE
" AND UM I HAVE TO ADMIT I WAS WATCHING THIS I PURPOSLY PUT IT ON BECAUSE I FIGURED IT WOULD BE SOMETHING THAT WOULD BE STUPID THAT I COULD FALL ASLEEP IN THE MIDDLE OF AND NOT MISS TOO MUCH
",NEGATIVE
"JUST WANTED SOMETHING TO WATCH WHILE I WAS FALLING ASLEEP 
",NEGATIVE
"SO I DIDNT DIDNT HAVE VERY HIGH EXPECTATIONS FOR THIS MOVIE 
",NEGATIVE
"AND I UM PRETTY MUCH IT PRETTY MUCH MET MY LOW EXPECTATIONS FOR THE MOST PART
",NEGATIVE
"BECAUSE I THREE MAJOR COMPLAINTS I HAVE ABOUT THIS MOVIE
",NEGATIVE
"UM BIGGEST ONE IS THE CGI EFFECTS WERE JUST TERRIBLE 
",NEGATIVE
" AND UM THE STORY WAS PRETTY WEIRD
",NEGATIVE
"UM AND AGAIN I I IF I HAD TO PAY CLOSER ATTENTION I MIGHT HAVE FOLLOWED IT MORE
",NEGATIVE
"AND MIGHT HAVE BEEN IT MIGHT HAVE MADE MORE SENSE 
",NEGATIVE
" UM UM THIS MOVIE THIS MOVIE UM BY HALF WAY THROUGH I WAS CHECKING THE TIME AND SAW THAT THIS MOVIE WAS TWO HOURS LONG
",NEGATIVE
"WHICH I MEAN FOR A MOVIE ABOUT JI JOE NINTY MINUTES IS ENOUGH
",NEGATIVE
"OK I DONT NEED A THREE HOUR MINI XXX ABOUT JI JOE
",NEGATIVE
" BUT THATS JUST ME
",NEGATIVE
" I THOUGHT THAT TWO HOURS WAS WAY TOO LONG FOR THIS MOVIE
",NEGATIVE
"AND THE LAST BIG THING WAS UM JUST THE THE IT IT I KNOW ITS ABOUT JIJOE YOU KNOW OBVIOUSLY ITS GONNA BE ABOUT THE ARMY BUT IT JUST FELT LIKE UM LIKE UM MILITARY PROPAGANDA KIND OF LIKE YOU KNOW
",NEGATIVE
" IT FELL LIKE I WAS WATCHING ONE OF THOSE ARMY OF ONE COMMERCIALS SOMETIMES
",NEGATIVE
" OF COURSE ITS TOO MUCH 
",NEGATIVE
"OF COURSE ITS GONNA BE MAKING THEM LOOK GOOD JUST FINE
",POSITIVE
"I I GUESS UM BUT THE FUNNY THING IS UM I MEAN FUNNY THING IS DESPITE AS DESPITE EVERYTHING BAD ABOUT THIS MOVIE I ENDED UP HALF WAY LIKING IT
",POSITIVE
"AND THATS BECAUSE ABOUT HALF WAY THROUGH THE MOVIE I REALIZED THAT THIS IS JUST ITS REALLY JUST A CARTOON
",NEGATIVE
"IF YOU LOOK AT IT AS A LIVE ACTION MOVIE YOU YOURE GONNA BE DISAPPOINTED
",NEGATIVE
"BUT IF YOU LOOK AT IT AS A CARTOON WHICH IS PRETTY MUCH MOSTLY IS WITH ALL THE CGI FX
",NEGATIVE
"AND AND THERE IS A LOT OF IT 
",NEGATIVE
"I MEAN ITS ITS ABOUT THAT LEVEL STAR WAR IS 
",POSITIVE
"PRETTY CLOSE AS FAR AS JUST CGI HEAVY LIKE THIS TIME ITS WHAT ITS LIKE HUMAN FACE AND EVERYTHING AROUND THAT FACE IS CARTOON CGI COMPUTER EFFECTS 
",NEGATIVE
" AT FIRST I THOUGHT THE MOVIE WOULD APPEAL MORE TO YOUNGER AUDIENCE
",NEGATIVE
"BUT I ACTUALLY FOUND MYSELF ENJOYING THE MOVIE AND LAUGHING 
",POSITIVE
" I THINK THE MOVIE REALLY DEPICTED THE LIVELINESS OF NEW YORK CITY WHILE SINCE IM A NEW YORKER MYSELF
",POSITIVE
"I ALSO LIKED HOW THE STORYLINE OF THE MOVIE WORKED TOGETHER SMOOTHLY
",POSITIVE
" THE MOVIE ALSO DELIVERS MANY MEANINGFUL MESSAGES
",POSITIVE
"I ALSO THOUGHT SOME PARTS OF THE MOVIE WERE FUNNY FOR EXAMPLE UM GARGAMELS CAT FACIAL EXPRESSIONS
",POSITIVE
" THEYRE SO HILARIOUS AND SIMILAR TO XXX PERSON WITH THAT
",POSITIVE
" I RECOMMEND THIS FILM TO CHILDREN SIX AND UP
",POSITIVE
" IT IS A FUN FAMILY FILM
",POSITIVE
" PARENTS WILL FIND THEMSELVES LAUGHING AS THEY REMINISCE THEY CHILDHOOD
",POSITIVE
" AND CHILDREN WILL LIKE THE MOVIE
",POSITIVE
"SINCE THE SMURFS ARE SO ADORABLE AND THEY GO ON THRILLING ADVENTURES
",POSITIVE
"THIS MOVIE IS ADORABLE
",POSITIVE
" THIS MOVIE IS JUST TOO ADORABLE
",POSITIVE
"THERE WERE SOME REALLY GOOD THINGS ABOUT THIS MOVIE
",POSITIVE
"THE VOICE ACTING EXCELLENT
",POSITIVE
"THE VISUALS WERE GREAT
",POSITIVE
"THIS WAS PROBABLY THE BEST 3D MOVIE IVE SEEN IN A LONG TIME COZ IT ACTUALLY USED 3D
",POSITIVE
" TOY STORY HAD ELEMENTS OF IT BUT THIS MOVIE PLAYED WITH 3D AND UM DIFFERENT WAYS TO COME AT YOU OUT OF THE SCREEN
",POSITIVE
"SO I LIKED THAT A LOT
",POSITIVE
"THE VOICE ACTING IN THIS WAS INCREDIBLE
",POSITIVE
"STEVE CARELL VOICES GRU AND RUSSELL BRAND ACTUALLY REALLY IMPRESSED ME WITH HIS OLD MAN VOICE FOR THE DOCTOR 
",POSITIVE
"OF I COULDNT I COULDNT EVEN BELIEVE IT WAS RUSSELL BRAND
",POSITIVE
" I KEPT I WAS LISTENING BORED 
",POSITIVE
"AND THERE WAS MAYBE ONE TIME WHEN I THOUGHT I ACTUALLY HEARD RUSSELL BRAND HIMSELF 
",NEGATIVE
"BUT OTHERWISE I THOUGHT HE WAS EXCELLENT
",POSITIVE
"AS FOR 3D I SAY YES
",POSITIVE
"THERES ONE SCENE IN THIS MOVIE THAT MAKES 3D ENTIRELY WORTH IT
",POSITIVE
"AND SOME PEOPLE MIGHT THINK THAT THERES A LOT OF CHEAP TRICKS 
",POSITIVE
" BUT THERES A ROLLER COASTER SCENE AND IF YOU ARE UM GET A LITTLE BIT MOTION SICK YOU MIGHT NOT WANNA SEE IT IN 3D BECAUSE YOULL FEEL LIKE YOURE ON THIS COASTER
",POSITIVE
" I MEAN MY STOMACH WAS ALMOST GOING WOHU AS WE WENT DOWN THE BIG DROP
",POSITIVE
" I THOUGHT IT WAS REALLY COOL
",POSITIVE
" THAT WAS A GREAT EFFECT
",POSITIVE
"THERE WAS A LOT OF CHEAP CHILD HUMOUR
",NEGATIVE
" WHICH EVERYONE CAN RELATE TO 
",POSITIVE
"AND I I ALWAYS THINK THATS HILARIOUS
",POSITIVE
"BUT WHAT MADE THIS MOVIE REALLY FUN WAS SOME OF THE ADULT HUMOUR JABS
",POSITIVE
"OR WHAT I WOULD LIKE TO CALL RAYAN GOSLING LEATHER SHOE AND SUIT PORN
",NEGATIVE
"BUT I ACTUALLY REALLY FUCKING LOVE THIS MOVIE
",POSITIVE
" SO THERES NOT GONNA BE ANY OF BAD SHIT
",POSITIVE
"SO ANYWAY THE MOVIE WAS REALLY FUCKING AWESOME
",POSITIVE
" I THINK THAT THAT THEY PERSONALLY THOUGHT THAT RACHEL WITHERS REALLY FUCKING LOVE SUITS AND RYAN GOSLING SO THEY MADE THIS MOVIE WITH ME IN MIND
",POSITIVE
"NO REALLY LIKE RACHEL WHITERS NEEDS SOME FUCKING FAT MATERIAL
",NEGATIVE
"I WISH I WAS RYAN GOSLING
",POSITIVE
"RYAN GOSLING THE BEST PART IN THE MOVIE
",POSITIVE
"IM NOT GONNA FUCKING SPOIL ANYTHING FOR YOU JUST BECAUSE THAT WOULD BE RUDE
",NEGATIVE
"AND YOU SHOULD ALL GO OUT AND SEE IT AND YOU KNOW STUFF
",POSITIVE
"BEST PART OF THE FUCKING ASS MOVIE WAS THIS ONE SCENE WHERE RYAN GOSLING WAS JUST STANDING THERE IN A FUCKING SUIT EATING PIZZA IN SLOW ASS MOTION
",POSITIVE
"THAT WAS JUST LIKE HU LIKE ZOOMING IN ON HIM AND IM JUST LIKE SITTING HERE LIKE ANY MOTHER FUCKERS DROP
",NEGATIVE
"EMMA STONE WAS IN THIS MOVIE AS WELL AND YOU WOULDNT REALLY KNOW IT COZ SHE WAS HARDLY IN IT
",NEGATIVE
"AND I WAS REALLY UPSET ABOUT IT 
",NEGATIVE
"COZ YOU KNOW APPARENTLY ACCORDING TO PEOPLE ON THE INTERNET AKA TUMBLER BECAUSE EVERYONE ON TUMBLER IS ON CRACK THEY ALL THINK I LOOK LIKE HER OR LIKE SOUND LIKE HER OR ACT LIKE HER 
",NEGATIVE
"LIKE I KIND OF SOUND LIKE I MIGHT HAVE A PENIS
",NEGATIVE
"AND YEAH I KNOW WE BOTH HAVE THAT LIKE AN EASY WAY 
",POSITIVE
"WE BOTH LIKE FLOOGED IN SHIT 
",NEGATIVE
"AND SHE DIDNT REALLY ACT LIKE ME AT ALL
",NEGATIVE
"AND I WAS KIND OF UPSET ABOUT IT
",NEGATIVE
"BECAUSE LIKE SHE MUSTVE BEEN AN ANIMAL AND SHE WASNT 
",NEGATIVE
" AND I WAS THINKIN LIKE IF I CAN BE MOTHER FUCKING EMMA STONE AND CHRIS CAN BE ROYAN GOSLING AND THAT WOULD BE JUST GREAT DIDNT REALLY HAPPEN IN THE MOVIE
",NEGATIVE
"I WAS KIND OF UPSET ABOUT THAT
",NEGATIVE
"THERES A GIANT ASS TWIST TO THIS MOVIE AT THE END
",POSITIVE
"LIKE ITS OBVIOSLY NOT LIKE A SERIOUS FUCKING MOVIE OR ANYTHING
",NEGATIVE
"ITS COMEDY ROMANTIC ROMCOM RAOA
",POSITIVE
"IM A LITTLE DISAPPOINTED IN MYSELF FOR NOT REALISING THE TWIST BEFORE IT ACTUALLY TWISTED
",NEGATIVE
" BECAUSE LIKE WHAT THE FUCK LIKE THATS WHAT IM GOOD AT
",NEGATIVE
"IM GONNA SPOIL SKINS RIGHT NOW I TOTALLY KNEW MANNY AND RICK WERE GONNA BE RELATED I FUCKING KNEW IT LIKE I KNEW IT
",NEGATIVE
" BUT IT WAS A REALY GOOD MOVIE
",POSITIVE
"WATCH THIS FUCKING MOVIE
",NEGATIVE
"AND UM PARTICULARLY THE MOVIES THAT I FEEL LIKE SHOULDVE GOTTEN NOMINATED BUT DIDNT AND NEVER LET ME GO IS ACTUALLY ONE OF THOSE MOVIES
",POSITIVE
" I THINK A LOT OF PEOPLE ARE REALLY SPLIT ABOUT THIS MOVIE
",NEGATIVE
"THERES A CERTAIN DEADPAN NATURE TO IT
",NEGATIVE
" IT WAS A PRETTY SLOW MOVIE FOR THE MOST PART
",NEGATIVE
"AND IT WAS IT WAS THOUGHFUL
",POSITIVE
" BUT THERE ARE YOU KNOW THERERE CRITICS OF MOVIES THAT ARE SOMETIMES TOO THOUGHFUL IN A WAY AND I THINK THAT WOULD NEVER LET ME GO
",NEGATIVE
" A LOT OF CRITICS SAID THAT IT RELIED TOO MUCH ON THE AUDIENCE TO UM EXPLORE THE THEMES IN THE FILM AND YOU KNOW TIGHTLY SO I GUESS WHICH
",NEGATIVE
" UM IN A WAY A LOT OF THE THEMES IN NEVER LET ME GO WHICH WERE VERY PROFOUND AND DEEP 
",POSITIVE
"THEY WERENT FULLY EXPLORED 
",NEGATIVE
"BUT REGARDLESS I THOUGHT IT WAS A VERY GOOD MOVIE
",POSITIVE
"THOSE THREE ARE SOME OF THE BEST YOUNG ACTORS OF TODAY
",POSITIVE
" SHE AND EVERYTHING SHE DOES SHE HAS SO MUCH GRACE TO IT AND SO MUCH FLUIDITY
",POSITIVE
" AND KEIRA KNIGHTLEY I MEAN EVERYBODY KNOWS HER FROM THE PIRATES OF THE CARRIBEAN 
",NEGATIVE
"BUT I MEAN IN HER OTHER WORKS LIKE PRIDE AND PREJUDICE SHES JUST BEEN REALY FANTASTIC
",POSITIVE
"SO LOOK OUT FOR THAT THAT SHOULD BE INTERESTING
",POSITIVE
"BUT ANYWAYS THEY DID UM THEY DID ACT VERY WELL 
",POSITIVE
"AND YOU DONT EXACTLY KNOW WHAT IS GOING ON 
",NEGATIVE
" BUT ITS UM ITS SOMEONE MODERN I WOULD SAY
",POSITIVE
"ITS NOT ITS NOT LIKE A PERIOD PIECE OR ANYTHING
",POSITIVE
"AND YOU DONT EXACTLY KNOW WHATS GOING ON
",NEGATIVE
"AND I THINK EARLY ON THE TWIST IS REVEALED
",NEGATIVE
" UM SO THERE ARE THINGS THAT I LIKED ABOUT THE MOVIE BETTER THAN I LIKED ABOUT THE BOOK AND VICE VERSE
",POSITIVE
"IT WASNT LIKE IT WASNT LIKE OH THE BOOK WAS SO MUCH HARDER THAN MOVIE
",NEGATIVE
" MAYBE BECAUSE NUMBER FOUR WAS NOT MY ALL TIME FAVORITE BOOK 
",NEGATIVE
"IT WAS A GOOD BOOK
",POSITIVE
"BUT BUT UM I WASNT CRAZY ABOUT IT
",NEGATIVE
"SO YEAH AND THE MOVIE WAS PRETTY GOOD IN MY OPINION
",POSITIVE
"SO I LIKED THE MOVIE 
",POSITIVE
" BECAUSE IT DID A GOOD JOB OF EXPLAINING THE BACK STORY IN THE BOOK
",POSITIVE
" GOOD JOB OF EXPLAINING THING WITH LORAIN THE MOGADORIANS
",POSITIVE
"THE NUMBERS THEY AND THEY KIND OF STUCK TO THE BOOK OF IT SO I LIKE THAT
",POSITIVE
"AND BUT XXX WERE TOO HOLLYWOOD FOR ME
",NEGATIVE
"LIKE TH THIS THING ISNT REALLY A BIG DEAL BUT UM I I DDINT LIKE THE FACT THAT JOHN HAD AN IPHONE
",NEGATIVE
" BECAUSE THINK ABOUT IT IF YOU IF YOUR TOP PRIORITY IS SURVIVAL THAN WHY WOULD YOU BE WORRIED ABOUT HAVING THE LATEST TECHNOLOGY YOU KNOW WHAT I MEAN
",NEGATIVE
"BUT MY OPININ LIKE HE SHOULDNT HAVE AN IPHONE HE SHOULDNT CARE ABOUT THE LATEST TRENDS SO THATS REALLY WHAT THE LIEUTENANT XXX
",NEGATIVE
"I THOUGHT IT WAS ALL TOO COMMERCIAL IN THAT ASPECT
",NEGATIVE
" UM LIKE I SAID IT WASNT BIG DEAL
",NEGATIVE
"AND YOU PROBABLY DONT THINK SO BUT YOU KNOW JUST ONE OF THOSE LITTLE THINGS THAT THAT HURT YOU FOR SOME REASON YOU KNOW WHAT I MEAN
",NEGATIVE
"UM ANOTHER THING THAT DID BOTHER ME WERE THE KISSINGS 
",NEGATIVE
"I CANT EXPRESS MY THOUGHTS AND FEELINGS ABOUT THIS MOVIE ADEQUATLY WITHOUT DESCRIBING SOME SPECIFIC THINGS IN THE THIRD ACT OF THE MOVIE
",NEGATIVE
"IT WAS WIDELY BELIEVED THAT A SUCESS OF GREEN LANTERN MOVIE WOULD LEAD WARNER BROTHERS TO ADAPT THE FLASH AND WONDER WOMAN AMONG POSSIBLY OTHERS 
",POSITIVE
"AND PUT THEM IN A JUSTICE LEAGE MOVIE WITH THE RITUAL BATMAN AND SUPERMAN
",POSITIVE
"SO NOT ONLY THAT THIS MOVIE HAVE TO DEAL WITH THE BURDEN OF TELLING ITS OWN SELFCONTAINED STORY AND SETTING UP ITS OWN INEVITABLE SEQUELS
",NEGATIVE
" IT HAD TO DEAL WITH THE EXPECTATIONS OF POTENTIALLY SETTING UP ALL THAT OTHERS STUFF
",NEGATIVE
"YEAH NOT GOOD
",NEGATIVE
"TO ALL THE GREEN LANTERN FANS OUT THERE I AM SO SORRY
",NEGATIVE
"I SAY THAT FOR TWO REASONS FIRST BECAUSE SOMEONE OWES YOU AN APPOLOGIE 
",NEGATIVE
"AND WARNER BROTHERS IS NEVER GONNA GIVE YOU ONE
",NEGATIVE
"AND SECONDLY BECAUSE AS A MARVELL GEEK I HAVE EXPERIENCED MY FAIR SHARE OF DISAPPOINTMENTS OVER THE LAST DECADE AND I CAN GENUINLY SYMPHATIZE WITH YOU
",NEGATIVE
"BEFORE I GET TO THE NEGATIVES OF THE MOVIE LET ME LIST OFF A FEW OF THE POSITIVES
",POSITIVE
" I LOVE JEFFREY RUSH AND MICHAEL CLARKE DUNCAN AS THE VOICE ACTORS
",POSITIVE
" THEY DO A GREAT JOB WITH THEIR ROLES
",POSITIVE
"THEY ARE GREAT ADDITIONS
",POSITIVE
" I ALSO LOVE THE CASTING OF MARK STRONG AS SINESTRO
",POSITIVE
"HES PERFECT FOR THAT ROLE
",POSITIVE
" AND UM FINALLY A PARTICULAR STAND OUT SCENE FOR ME WAS THE FIGHTER JET SEQUENCE
",POSITIVE
"IT WAS BY FAR MY FAVORITE ACTION SEEN IN THE MOVIE
",POSITIVE
"I THOUGHT IT WAS REALLY WELL PUT TOGETHER
",POSITIVE
"AND UM I THOUGHT IT WORKED WORKED PRETTY WELL
",POSITIVE
" UM AND IN FACT IN SPITE OF ALL THE NEGATIVES IM ABOUT TO MENTION I THOUGHT THE MOVIE WAS WORKING FOR A WHILE FOR ABOUT THE FIRST THIRD UM BUT AT THE END OF ACT ONE TWO SIGNIFICANT THINGS HAPPENED
",NEGATIVE
"HACTOR HUMMAND ARRIVES AND STARTS CHEWING SCENERY LIKE ITS A TWO DOLLAR STEAK
",NEGATIVE
"AND HOW JORDAN FLIES OFF TO THE GREEN LANTERN CORE PLANET OH AND THE MOVIE STARTS SEQUEL BAITING
",NEGATIVE
"THESE TWO DEVELOPMENTS TOGETHER CAUSED WHAT WAS UP TO THAT POINT A NOBLE EFFORT TO START FALLING APART AT THE SEAMS
",NEGATIVE
" AND IT WAS PAINFUL TO WATCH
",NEGATIVE
"I DONT EVEN KNOW WHY I REALLY SHOULD BEGIN WITH LISTING OFF THE NEGATIVES BUT IM GOING TO START WITH A FEW OF THE SUPERFICIAL THINGS
",NEGATIVE
"THE ACTING RANGES FROM MEDIOCRITY TO HAMFISTED FROM THE LIVE ACTION ACTORS
",NEGATIVE
"BUT I CANT REALLY BLAME THEM FOR THAT 
",NEGATIVE
" THIS IS STAR WARS PREQUAL TERRITORY
",NEGATIVE
"THE ACTING IS NOT THAT BAD
",NEGATIVE
"BUT STILL ITS THAT KIND OF MOVIE MAKING 
",NEGATIVE
" BROWNING IS MEDIOCRE ROLE
",NEGATIVE
"THERES NEVER A FEELING OF STAR QUALITY WITH HER
",NEGATIVE
"SHE ISNT TERRIBLE
",NEGATIVE
"BUT QUITE FRANKLY SHE IS IMPLAUSIBLE
",NEGATIVE
"AND VISUALLY STUNNING 
",POSITIVE
" AND I DONT KNOW WHY PEOPLE ARE HATING ON THE FILM BECAUSE I REALLY DO LOVE IT
",POSITIVE
"OVERALL BROWNING IS JUST FAILS TO DELIVER
",NEGATIVE
"AND IS UPSTAGED BY MANY OTHER PERFORMANCES IN THE FILM
",NEGATIVE
"THE SUPPORTING CAST IS EITHER HIT OR MISS
",NEGATIVE
"THE HITS INCLUDE OSCAR ISAAK AS THE MAIN VILLAIN LIKE I SAID BLUE JENA MALONE IS THE SOFT SPOKEN ROCKET AND THE STEALING ABBY CORNISH IS SWEET PEA A TROUBLED AND RELUCTANT YOUNG WOMAN IN THE PACK
",POSITIVE
"THE MISSES INCLUDE YOU KNOW VANESSA HUDGENS 
",NEGATIVE
"WHO DOESNT HAVE ANY PRESENTS OR GREATNESS AT ALL
",NEGATIVE
"AND THE OTHER HORRIBLE I MEAN ABSOLUTELY ATROCIOUS CARLA GUGINO AS DOCTOR VERA GORSKI 
",NEGATIVE
"WHOS ACCENT IS SO AWEFUL
",NEGATIVE
"AND WHOS IS RIDICULOUS 
",NEGATIVE
"AND HER CHARACTER IS ALSO UNDEVELOPED AND WEAK
",NEGATIVE
"JON HAMM AND SCOTT GLENN COULD BRING YOU KNOW THEY COULD BE INTERESTING CHARACTERS 
",POSITIVE
" AND THEY COULD HAVE GREAT BACK STORIES 
",NEGATIVE
" BUT THEY YOU KNOW THEY THEY BRING NOTHING TO THIS TABLE 
",NEGATIVE
"AND WHICH HURTS THE FILM DRASTICALLY
",NEGATIVE
"BECAUSE THEY ARE INTERESTING CHARACTERS 
",POSITIVE
"AND COULD HAVE INTERESTING BACK STORIES
",POSITIVE
"THE ACTING COULD BE BETTER AND IS VERY MEDIO
",NEGATIVE
"THERE IS SOME SORT OF GREATNESS TO SUCKER PUNCH THOUGH
",POSITIVE
"FIRST THE VISUAL EFFECTS HERE ARE STELLAR
",POSITIVE
"THEY ARE UNIQUE
",POSITIVE
"INCREDIBLE ICANDY
",POSITIVE
"AND JUST OVERALL SUPERB
",POSITIVE
" AND THE ACTION IN THE MOVIE IS SO WELL USED
",POSITIVE
"ITS BAD
",NEGATIVE
"OH GOD THIS IS BAD
",NEGATIVE
"IM NOT EVEN GONNA GO TO THE LOWS TO MAKE A WHOLE NIGHT VIDEO ABOUT THIS MOVIE
",NEGATIVE
"SO NO NOW KNOW THIS I AM NOT A FAN OF THE FINAL DESTINATION SERIES
",NEGATIVE
" I HATE IT
",NEGATIVE
"BUT AS FAR AS IM CONCERNED THIS SERIES IS GARBAGE
",NEGATIVE
"YOU CAN SENSE MY EXCITEMENT WHEN I HEARD THIS WAS BEING RELEASED
",NEGATIVE
"NOW I WONT EVEN TALK ABOUT ACTING COZ ITS JUST SO BAD
",NEGATIVE
"ITS A JOKE REALLY
",NEGATIVE
"NOW LET JUST GET INTO TWO THINGS THAT WILL POSSIBLY ATTRACT YOU TO THIS FILM THE VIOLENCE AND THE 3D
",POSITIVE
"VIEWERS PLEASE RESIST FROM THESE TWO
",NEGATIVE
"THE VIOLENCE HERE IS PRETTY BAD
",NEGATIVE
"THERERE ABOUT TWO CREATIVE SCENES IN HERE UM ONE BEING IN INTESTINAL JOURNEY THROUGH THE RECTUM IN A SWIMMING POOL DRAIN AND A TIRE DECAPITATION THAT
",NEGATIVE
"BUT THE WAY ITS PULLED OFF ITS LIKE WOW THAT WAS SICK
",POSITIVE
" I MEAN NOT THE SICK LIKE OH MY GOD THAT WAS AWESOME 
",POSITIVE
"NO SICK IN THE OH MY GOD THAT WAS CRAZY THAT KIND OF SICK
",NEGATIVE
"THERES MANY DIFFERENT WAYS OF SAYING SICK NOWADAYS
",NEGATIVE
"BUT UM YEAH WOW AGH SAY THAT IN TWO SHEE TWO SCENES DEATH ISNT EVEN NEARLY UNIQUE IS A BIT HARSH 
",NEGATIVE
